relation	word1	pos1	word2	pos2
co-hyponym	非洲	Nc	澳洲	Nc
hypernym	杯子	Na	器具	Na
co-hyponym	觀	Na	震	Nb
hypernym	雨	VA	下	VCL
co-hyponym	秦	Nd	燕	Na
synonym	不用說	Dk	不消說	Dk
meronym	之下	Ng	空間	Na
synonym	點	Neqa	一點點	Neqa
hypernym	捷	Nc	地方	Nc
synonym	發出	VC	發送	VD
meronym	外資	Na	財務	Na
antonym	虛	VH	真實	VH
antonym	關係	Na	結果	Na
hypernym	安	Nv	持	VJ
hypernym	筆	Na	工具	Na
hypernym	不予	VL	勿	D
co-hyponym	比	VC	升	VA
antonym	緩和	VH	陡	VH
antonym	完	VA	開	VC
hypernym	天主教	Nb	宗教	Na
antonym	提高	VA	減少	VA
antonym	加	VC	省	VJ
hypernym	教授	Na	職業	Na
hypernym	寫下來	VB	記下來	VB
hypernym	清	VH	舉止	Na
hypernym	梅花	Na	花	Na
hypernym	耍	VC	撒	VC
antonym	掉	VC	增長	VH
hypernym	戲院	Nc	建築物	Na
hypernym	去年	Nd	時間	Na
antonym	以前	Ng	以後	Ng
antonym	密	VH	疏	VH
co-hyponym	梁	Nb	宋	Nd
co-hyponym	徬徨	VH	驚慌	VH
hypernym	見到	VE	觀望	VA
synonym	台北市	Nc	臺北	Nc
co-hyponym	虎	Na	熊	Na
meronym	本錢	Na	財務	Na
hypernym	扇	Na	產物	Na
synonym	長於	VL	擅長	VL
hypernym	提	VC	領取	VC
hypernym	調查員	Na	人	Na
co-hyponym	乾	Nb	豐	VH
hypernym	頂	VC	回嘴	VA
synonym	剎那間	Nd	轉瞬間	Nd
antonym	拘	VC	釋放	VC
antonym	縱	VH	橫	VH
synonym	有點	Dfa	有一點兒	Dfa
hypernym	學校	Nc	場所	Na
antonym	那兒	Ncd	此	Ncd
hypernym	忿怒	VH	生氣	VH
hypernym	轉成	VG	變成	VG
co-hyponym	車	Na	象	Na
hypernym	位置	Nc	空間	Na
hypernym	大西洋	Nc	區域	Na
hypernym	登陸	VCL	登	VCL
antonym	不要	D	想要	VE
synonym	電影院	Nc	戲院	Nc
antonym	正	Na	後面	Ncd
meronym	以後	Nd	時間	Na
antonym	進入	VCL	出	VCL
hypernym	機	Na	設備	Na
hypernym	附贈	VD	給與	VD
antonym	不可	D	使得	VA
hypernym	杜鵑樹	Na	樹	Na
antonym	有幸	VH	糞	Na
hypernym	送	VD	給與	VD
synonym	一塊兒	D	相互	D
hypernym	交通工具	Na	產物	Na
hypernym	權利	Na	抽象	VH
hypernym	清	VH	評價	VA
hypernym	住宅	Na	建築	Na
synonym	媽呀	I	我的媽呀	I
hypernym	豬	Na	動物	Na
co-hyponym	平	Na	仁	Na
hypernym	伯仲	Nh	關係	Na
hypernym	清	VC	財務	Na
hypernym	傳道	VB	傳	VE
synonym	吃掉	VC	吃下去	VC
hypernym	調羹	Na	器具	Na
hypernym	群	Nf	單位	Na
hypernym	玻璃	Na	素材	Na
synonym	東西	Ncd	橫	VH
antonym	光	Da	不只	Da
hypernym	愛	Na	特質	Na
hypernym	禮	Na	制度	Na
antonym	關閉	VC	打開	VC
co-hyponym	宋	Nd	夏	Nd
co-hyponym	義	Na	愛	Na
co-hyponym	張	Nb	柳	Nb
co-hyponym	冷	VH	暖	A
synonym	比不上	VJ	不及	VJ
synonym	轉化為	VG	化為	VG
antonym	著重	VJ	薄	VJ
antonym	女生	Na	兒子	Na
hypernym	舟	Na	交通工具	Na
synonym	些許	Neqa	有一點兒	Dfa
antonym	高溫	Na	低溫	Na
antonym	登台	VA	下臺	VA
hypernym	名將	Na	將	Na
hypernym	菌	Na	微生物	Na
hypernym	廢料	Na	廢物	Na
synonym	些許	Neqa	有一點點	Dfa
hypernym	享有	VJ	有	V_2
hypernym	輩	Na	關係	Na
synonym	拾	Neu	十	Neu
antonym	男	Na	女生	Na
synonym	總而言之	Dk	總括來說	Dk
hypernym	化為	VG	成為	VG
hypernym	電氣	Na	物理	Na
hypernym	赤字	Na	財務	Na
hypernym	數學	Na	學術	Na
hypernym	包	VC	遺	VC
co-hyponym	斗	Na	室	Na
synonym	而外	Ng	除此之外	Dk
co-hyponym	熊	Na	龍	Na
antonym	省	VJ	添	VC
antonym	久	VH	短	VH
synonym	認帳	VA	認賬	VA
hypernym	旗	Na	區域	Na
co-hyponym	井	Na	咸	Nb
synonym	後現代	Na	後現代主義	Na
hypernym	電影院	Nc	建築物	Na
synonym	不但	Cbb	不單單	Cbb
synonym	有點	Dfa	有一些	Dfa
hypernym	哀哉	I	死	VH
hypernym	公斤	Nf	單位	Na
synonym	圍起來	VB	圍起	VC
co-hyponym	宋	Nd	清	Nd
hypernym	伸手	VA	伸	VC
antonym	寬	VH	窄	VH
hypernym	苔原	Na	區域	Na
synonym	這樣子	Nep	這樣	Nep
hypernym	課	VC	科	Nf
hypernym	領	VC	受到	VJ
hypernym	喪	VJ	死掉	VH
antonym	為止	Ng	起	Ng
co-hyponym	象	Na	將	Na
synonym	當作	VG	作為	VG
hypernym	獎品	Na	禮物	Na
hypernym	聽到	VE	聆	VC
synonym	記下來	VB	記住	VK
antonym	容許	VE	不可以	D
antonym	減少	VHC	添	VC
synonym	遺留下	VD	遺留	VD
meronym	身後	Nd	時間	Na
hypernym	西	Nc	語言	Na
antonym	婚前	Nd	婚後	Nd
hypernym	醫學	Na	學術	Na
synonym	自然	Na	大自然	Nc
co-hyponym	唐	Nd	隋	Nd
antonym	優	VH	劣	VH
synonym	不啻	Cbb	不單單	Cbb
antonym	進來	VA	出來	VA
synonym	大幅	D	大幅度	A
antonym	夜晚	Nd	朝	Nd
meronym	前方	Ncd	空間	Na
synonym	有點	Dfa	有一點點	Dfa
hypernym	湯匙	Na	單位	Na
antonym	以外	Ng	之內	Ng
hypernym	想起	VE	回想	VK
hypernym	鋼	Na	素材	Na
co-hyponym	士	Na	將	Na
hypernym	刷	Na	器具	Na
hypernym	看看	VC	視	VC
hypernym	聲音	Na	性質	Na
antonym	女兒	Na	子	Na
co-hyponym	上	VCL	入	VCL
hypernym	猿	Na	動物	Na
hypernym	代	Nf	單位	Na
antonym	出去	VA	入	VCL
hypernym	長庚	Nc	區域	Na
synonym	有心人	Na	有心人士	Na
synonym	沙沙	VH	啞	VH
synonym	詎料	Dk	想不到	Dk
synonym	畏	VK	禁不起	VL
hypernym	線	Na	素材	Na
co-hyponym	觀	Na	節	Nf
antonym	沒有	VJ	占有	VJ
hypernym	憎恨	VJ	生氣	VH
co-hyponym	炮	Na	兵	Na
antonym	嚴峻	VH	輕	VH
synonym	地理	Na	地理學	Na
co-hyponym	感受	VK	覺	VK
hypernym	當時	Nd	時間	Na
antonym	開	VC	結束	VHC
hypernym	安	Nv	懷	VJ
antonym	麗	VH	醜	VH
synonym	以至	Cbb	甚至於	D
co-hyponym	北	Ncd	南	Ncd
hypernym	烏	A	顏色	Na
co-hyponym	狗	Na	羊	Na
co-hyponym	農	Na	士	Na
synonym	排放到	VCL	排入	VCL
synonym	打下來	VB	打下	VC
hypernym	鍋	Na	器具	Na
antonym	只	Da	不僅僅	Da
synonym	胡	VH	為甚麼	D
hypernym	聽任	VL	任憑	VL
hypernym	競賽	VA	賽	VC
antonym	前面	Nd	後來	Nd
synonym	有鑑於此	Dk	有鑒於此	Dk
antonym	存有	VJ	毋	D
hypernym	旅行	VA	娛樂	Na
antonym	出去	VA	進來	VA
synonym	以至	Cbb	以致於	Cbb
meronym	脊椎	Na	身體	Na
hypernym	邵族	Nb	文化	Na
antonym	沒	VJ	存有	VJ
hypernym	想到	VC	想	VC
antonym	燒	VH	冷卻	VHC
hypernym	獎狀	Na	獎	Na
hypernym	阿拉伯數字	Na	數字	Na
hypernym	不屑一顧	VI	忽視	VJ
synonym	開放	VH	開放式	A
co-hyponym	虎	Na	牛	Na
hypernym	國寶	Na	寶	Na
hypernym	房子	Na	建築物	Na
hypernym	沈醉	VI	醉	VH
co-hyponym	乾	VH	升	VA
antonym	陋	VH	麥克	VH
antonym	死	VH	存在	VCL
hypernym	棟	Nf	單位	Na
hypernym	款	Na	款項	Na
antonym	折	VD	取勝	VI
antonym	方便	VH	緊	VH
synonym	俄	Nd	轉瞬間	Nd
synonym	譬如說	P	例如	P
co-hyponym	夏	Nd	遼	Nd
co-hyponym	元	Nd	周	Nd
hypernym	皖	Na	文化	Na
synonym	有一點點	Dfa	有點兒	Dfa
synonym	圈	VC	圍起來	VB
antonym	賃	VC	承租	VD
antonym	輕	VJ	注重	VJ
hypernym	多達	VJ	高達	VJ
antonym	過去	Nd	後	Nd
hypernym	附贈	VD	贈送	VD
hypernym	丈	Nf	單位	Na
antonym	平	VH	不同	VH
hypernym	汽	Na	車	Na
hypernym	孫	Nb	名稱	Na
antonym	過往	Nd	后	Nd
synonym	只是	Da	祇不過	Da
hypernym	禮聘	VF	聘用	VC
synonym	比不上	VJ	不如	VJ
hypernym	灰	VH	顏色	Na
synonym	比方說	P	例如說	P
antonym	前面	Ncd	以降	Ng
antonym	過往	Nd	後面	Nd
synonym	只是	Da	只不過	Da
meronym	柏林	Nc	德國	Nc
co-hyponym	觀	Na	升	VA
antonym	熱情	VH	冷淡	VH
antonym	來不及	VH	來得及	VH
hypernym	勇	VH	健	VH
hypernym	丹紅	Na	顏色	Na
co-hyponym	龍	Na	虎	Na
hypernym	派	Na	團體	Na
meronym	木柵	Nc	臺北	Nc
hypernym	偏	D	就是	Cbb
hypernym	現年	VJ	年	Nf
synonym	發出	VC	放出	VC
hypernym	臺	Nc	大學	Na
hypernym	大樓	Na	建築物	Na
hypernym	株	Nf	單位	Na
synonym	如果說	Cbb	使	Cbb
synonym	以至於	Cbb	以至	Cbb
antonym	東	Ncd	西	Ncd
hypernym	廣播	Na	訊息	Na
antonym	下	VCL	上去	VA
hypernym	安	Nv	抱持	VJ
antonym	以外	Ng	際	Nd
co-hyponym	今年	Nd	去年	Nd
hypernym	打烊	VA	關門	VA
hypernym	尼泊爾	Nc	國家	Na
hypernym	辦法	Na	方法	Na
antonym	潔	VH	汙	VH
synonym	這麼一來	Dk	這樣一來	Dk
hypernym	集	VC	舉止	Na
co-hyponym	旅	VCL	剝	VC
hypernym	簽名	VA	畫	VC
hypernym	西南	Ncd	區域	Na
hypernym	縱	VA	彈	VA
synonym	有心人士	Na	有心人	Na
synonym	只不過	Da	祇是	D
co-hyponym	唐	Nd	元	Nd
antonym	青	VH	粉	VH
hypernym	唐	Nd	名稱	Na
hypernym	茂	Nb	名稱	Na
synonym	洗衣	VA	洗衣服	VA
hypernym	看見	VE	觀望	VA
synonym	臺北縣	Nc	台北縣	Nc
synonym	這樣	Dfa	這樣子	Dk
synonym	有利於	VK	利	VH
hypernym	蛙	Na	動物	Na
hypernym	裕隆	Nb	公司	Na
hypernym	歌星	Na	工作	Na
co-hyponym	天蠍座	Nb	獅子座	Nb
synonym	要不	Cbb	要不然	Cbb
antonym	使得	VA	不可以	D
synonym	有否	D	有沒有	D
antonym	佳	VH	遜	VH
antonym	登	VCL	下	VCL
synonym	輕聲	D	低	VH
antonym	一樣	VH	不同	VH
co-hyponym	牛	Na	豬	Na
hypernym	健康	Na	狀況	Na
hypernym	旅	VCL	娛樂	Na
hypernym	教室	Nc	學校	Nc
hypernym	不屑一顧	VI	輕視	VJ
co-hyponym	鐵	Na	銅	Na
hypernym	遠東	Nc	區域	Na
antonym	無所謂	VH	在意	VK
hypernym	編成	VG	修	VC
synonym	心花怒放	VH	狂喜	VH
antonym	良性	A	惡性	A
synonym	不經意	D	無意	VL
meronym	之后	Nd	時間	Na
synonym	不僅僅	Cbb	不只	Cbb
hypernym	惱怒	VI	生氣	VH
antonym	那兒	Ncd	這兒	Ncd
antonym	繁	VH	簡	VH
hypernym	這樣	Dfa	如此	Dfa
antonym	降	VA	增高	VH
hypernym	愁苦	VH	悲傷	VH
hypernym	裕隆	Nb	汽車	Na
antonym	裡頭	Ncd	以外	Ng
hypernym	愁悶	VH	悲傷	VH
hypernym	怒	Na	情緒	Na
hypernym	符號	Na	知識	Na
hypernym	信	Na	訊息	Na
co-hyponym	金牛座	Nb	巨蟹座	Nb
hypernym	乘坐	VC	乘	VC
hypernym	享受到	VJ	享受	VJ
meronym	種	Na	植物	Na
hypernym	煩悶	VH	悲傷	VH
synonym	要不然	Cbb	不然	Cbb
meronym	腸	VC	身體	Na
co-hyponym	后	Na	王	Na
antonym	爹	Na	阿媽	Na
hypernym	青	Na	顏色	Na
meronym	股	Na	財務	Na
antonym	太太	Na	先生	Na
hypernym	幕	Nf	單位	Na
co-hyponym	竹	Na	土	Na
antonym	不忘	VK	遺忘	VK
hypernym	懊惱	VH	悲傷	VH
hypernym	校	Nc	組織	Na
hypernym	簽約	VA	畫	VC
co-hyponym	馬	Na	士	Na
antonym	過往	Nd	而後	D
hypernym	敵視	VJ	生氣	VH
synonym	不禁	VL	不由自主	D
synonym	何故	D	為甚麼	D
hypernym	痛心	VK	悲傷	VH
meronym	日	Nc	亞洲	Nc
hypernym	警探	Na	警察	Na
synonym	股票市場	Na	股市	Na
synonym	清楚	VK	了解到	VK
hypernym	智	Na	才能	Na
meronym	晚間	Nd	晚上	Nd
antonym	開始	Ng	為止	Ng
synonym	為什麼	D	何故	D
hypernym	論述	VE	舉止	Na
hypernym	個	Na	單位	Na
antonym	開始	Ng	止	Ng
co-hyponym	非	Nc	澳	Nc
hypernym	住宅	Na	殼	Na
antonym	冷	VH	加熱	VA
antonym	不良	VH	佳	VH
antonym	死	VH	活生生	A
antonym	假	VH	實	VH
hypernym	魯	Nc	文化	Na
co-hyponym	水瓶座	Nb	天蠍座	Nb
co-hyponym	牛	Na	羊	Na
antonym	下台	VA	上台	VA
hypernym	星	Na	天體	Na
synonym	一點兒	Neqa	一點	Neqa
antonym	前	Ncd	後方	Ncd
hypernym	吸食	VC	攝	VC
hypernym	秦始皇	Nb	名稱	Na
antonym	大我	Nh	小我	Nh
hypernym	昨日	Nd	時間	Na
antonym	前	Ng	之后	Ng
synonym	提起	VE	提到	VK
antonym	后	Ncd	前方	Ncd
hypernym	倫敦	Nc	地方	Nc
synonym	忍不住	VL	禁不住	VL
co-hyponym	托兒所	Na	幼稚園	Nc
hypernym	列	VC	展示	VC
hypernym	祝	VE	賀	VE
co-hyponym	蘭	Na	竹	Na
antonym	利益	Na	弊	Na
antonym	放出	VC	拘	VC
hypernym	列出來	VC	展	VC
hypernym	狹隘	VH	窄	VH
synonym	比方	P	例如說	P
hypernym	激憤	VH	生氣	VH
synonym	等同於	VG	等同	VG
hypernym	年	Na	單位	Na
co-hyponym	燕	Na	秦	Nd
synonym	大致上	Dk	基本	D
synonym	還不如	VJ	不及	VJ
hypernym	匕	Na	產物	Na
co-hyponym	周	Nd	唐	Nd
co-hyponym	工	Na	商	Na
meronym	棟	Nf	建築物	Na
synonym	娃	Na	小孩子	Na
hypernym	悲痛	VH	悲傷	VH
hypernym	新生	Na	成員	Na
hypernym	田	Nb	名稱	Na
hypernym	動物	Na	生物	Na
co-hyponym	仁	Na	和	Na
hypernym	電器	Na	設備	Na
synonym	公告週知	VI	公告周知	VI
antonym	關	VC	打開	VC
synonym	吞	VC	吞下去	VB
hypernym	校	Nc	地方	Nc
synonym	更有甚者	Dk	尤有甚者	Dk
hypernym	頂嘴	VB	回話	VB
hypernym	維多利亞	Nb	名稱	Na
hypernym	言辭	Na	言行	Na
co-hyponym	高中	Nc	小學	Nc
synonym	多多	VH	眾多	VH
antonym	之外	Ng	內部	Ncd
hypernym	大學	Na	組織	Na
hypernym	宅	Na	房屋	Na
hypernym	水	Na	液體	Na
meronym	梅花	Na	梅花樹	Na
co-hyponym	夏	Na	春	Na
meronym	之前	Nd	時間	Na
co-hyponym	曹	Nb	陳	Nb
hypernym	鼎盛	VH	勃	VH
meronym	年中	Nd	時間	Na
hypernym	招生	VA	招	VC
hypernym	脫	VC	狀況	Na
co-hyponym	元	Nd	明	Nd
hypernym	看見	VE	睹	VC
co-hyponym	高	Na	大	Na
antonym	關	VC	開	VC
hypernym	花兒	Na	植物	Na
hypernym	地點	Na	區域	Na
hypernym	息	Na	財務	Na
co-hyponym	牡羊座	Nb	金牛座	Nb
hypernym	悲憤	VH	生氣	VH
antonym	男生	Na	女生	Na
antonym	新	VH	陳	VH
synonym	一心	D	全心全意	D
synonym	買下來	VB	買下	VC
antonym	生	VH	嫻熟	VJ
co-hyponym	晚間	Nd	午間	Nd
antonym	早	Nd	後來	Nd
co-hyponym	赤	Na	黑	Na
antonym	提前	VB	延後	VC
antonym	媽媽	Na	爸	Na
antonym	午後	Nd	午前	Nd
hypernym	越	Nc	國家	Na
antonym	低溫	VH	高溫	VH
co-hyponym	宋	Nd	周	Nd
hypernym	晉	Nc	地方	Nc
hypernym	植物	Na	生物	Na
antonym	偽	VH	真實	VH
hypernym	放任	VL	任憑	VL
meronym	警員	Na	警方	Na
synonym	秦始皇	Nb	秦王	Nb
hypernym	職業學生	Na	學生	Na
antonym	彩	A	黑白	A
antonym	沒有	VJ	持有	VJ
co-hyponym	周	Nd	秦	Nd
meronym	樹	Na	樹林	Na
hypernym	童	Na	人類	Na
hypernym	汽車	Na	交通工具	Na
synonym	放出來	VB	放	VC
co-hyponym	雙子座	Nb	金牛座	Nb
hypernym	緣	Na	關係	Na
antonym	出來	VA	進	VCL
hypernym	唐	Nd	時間	Na
synonym	只不過	Da	但	Da
synonym	給予	VD	給	VD
synonym	如果說	Cbb	假如	Cbb
co-hyponym	和	Na	差	Na
synonym	吐出來	VB	吐出	VC
hypernym	剁	VC	斬	VC
hypernym	鯨魚	Na	水中生物	Na
antonym	早	Nd	夜晚	Nd
antonym	賣方	Na	買方	Na
meronym	幼時	Nd	時間	Na
co-hyponym	南	Ncd	東	Ncd
hypernym	折服	VI	拜	VC
co-hyponym	龍	Na	牛	Na
hypernym	句	Na	語	Na
co-hyponym	宋	Nd	商	Nd
synonym	這麼樣	Dfa	這樣子	Dk
antonym	最少	VH	最多	VH
antonym	間接	VH	直接	VH
antonym	男子	A	女子	Na
hypernym	桃	Nc	名稱	Na
antonym	長久	VH	短	VH
antonym	進來	VA	出去	VA
synonym	憤慨	VH	氣不過	VH
hypernym	高中	Nc	區域	Na
synonym	只不過	Da	僅僅	Da
hypernym	聽見	VE	聽	VE
hypernym	新光	Nc	行政區	Na
synonym	這一來	Dk	如此一來	Dk
hypernym	趴	VA	息	VA
hypernym	投	VC	丟	VC
hypernym	糕	Na	糕點	Na
antonym	正	D	倒	D
hypernym	看看	VC	窺	VC
co-hyponym	清	Nd	夏	Nd
synonym	晃	VC	恍	VC
hypernym	貝類	Na	軟體	Na
hypernym	妳們	Nh	你們	Nh
hypernym	傳統	Na	制度	Na
hypernym	北方	Ncd	位置	Nc
co-hyponym	門	Na	界	Na
antonym	贏	VD	落敗	VH
antonym	僅	Da	不僅僅	Da
co-hyponym	犯愁	VH	憂悶	VH
hypernym	盤子	Na	容器	Na
co-hyponym	乾	Nb	解	Nb
antonym	這	Ncd	那邊	Ncd
antonym	折	VD	贏	VD
co-hyponym	狗	Na	牛	Na
hypernym	杓子	Na	容器	Na
synonym	以外	Ng	除此以外	Dk
meronym	秋後	Nd	時間	Na
hypernym	招致	VL	致	VL
co-hyponym	弟	Na	姐	Na
synonym	禁不住	VL	不由自主	D
hypernym	敏	VH	才能	Na
co-hyponym	亞洲	Nc	澳洲	Nc
synonym	意想不到	VK	不料	Dk
hypernym	房舍	Na	建築物	Na
antonym	良好	VH	遜	VH
antonym	冉	D	急	VH
hypernym	便	D	則	D
antonym	大幅度	A	狹幅	D
synonym	一點兒	Neqa	一點點	Neqa
hypernym	北京	Nc	地方	Nc
antonym	慈	VH	嚴	VH
meronym	吭	Na	身體	Na
antonym	不要	D	欲	VK
hypernym	近路	Na	方法	Na
hypernym	與會	VA	預	VC
co-hyponym	眷戀	VJ	貪戀	VJ
antonym	以下	Ng	前面	Ncd
co-hyponym	萬	Na	餅	Na
hypernym	不予	VL	不	D
synonym	防患未然	VA	預防	VE
hypernym	腰	Na	名稱	Na
hypernym	鳴叫	VA	喚	VA
co-hyponym	小姐	Na	先生	Na
antonym	之後	Nd	過去	Nd
hypernym	薪	Na	金錢	Na
antonym	前面	Ncd	後方	Ncd
meronym	威尼斯	Nc	歐洲	Nc
co-hyponym	宋	Nd	元	Nd
hypernym	機	Na	交通工具	Na
synonym	合家	Nh	闔家	Nh
synonym	浮躁	VH	忐忑不安	VH
co-hyponym	弟弟	Na	妹妹	Na
synonym	發出	VC	表達	VC
co-hyponym	青	Na	黑	Na
antonym	妻	Na	先生	Na
hypernym	迷	VL	情緒	Na
hypernym	波	Nf	單位	Na
co-hyponym	爸爸	Na	媽媽	Na
synonym	私底下	D	私下	D
hypernym	昨天	Nd	時間	Na
synonym	甚	Nep	什	Nep
meronym	晚間	Nd	時間	Na
antonym	男	Na	女	Na
hypernym	裝	Na	服飾	Na
hypernym	吸	VC	攝	VC
antonym	悄悄	D	高聲	D
co-hyponym	義	Na	和	Na
hypernym	招致	VL	導致	VL
synonym	僅有	VJ	祇不過	Da
hypernym	觀	Na	地方	Nc
synonym	不啻	Cbb	不僅僅	Cbb
synonym	打招呼	VB	關切	VJ
synonym	叫作	VG	叫做	VG
synonym	壹	Neu	一	Neu
antonym	漂	VH	陋	VH
hypernym	使得	VL	導致	VL
antonym	單單	Da	不止	Da
meronym	磚	Na	建築物	Na
hypernym	術	Na	名稱	Na
synonym	簡言之	Dk	簡而言之	Dk
synonym	花	VH	眼花撩亂	VH
antonym	主人	Na	客	Na
meronym	感	Na	情緒	Na
hypernym	表明	VE	表	VE
antonym	這	Ncd	那裡	Ncd
antonym	提高	VA	掉	VC
hypernym	兔	Na	動物	Na
antonym	夫	Na	房	Na
hypernym	晨	Nd	時間	Na
hypernym	書	Na	訊息	Na
hypernym	耗油	VC	吃	VC
synonym	研究院	Nc	研究所	Nc
hypernym	肇致	VL	致	VL
antonym	完	VA	始	VH
meronym	胸	Na	身體	Na
hypernym	火鍋	Na	餐點	Na
antonym	父	Na	阿媽	Na
antonym	高聲	D	低聲	D
meronym	注意力	Na	知覺	Na
antonym	無	VJ	持有	VJ
hypernym	弟弟	Na	關係	Na
antonym	白	VH	黑	VH
co-hyponym	狗	Na	兔	Na
co-hyponym	教育部	Na	內政部	Na
antonym	小	VH	老	VH
meronym	水果	Na	植物	Na
antonym	以內	Ng	外面	Ncd
synonym	點點	Neqa	一點兒	Neqa
hypernym	盛開	VH	開花	VH
synonym	中正	VH	直	VH
hypernym	計	Na	單位	Na
hypernym	村莊	Nc	區域	Na
co-hyponym	水瓶座	Nb	獅子座	Nb
co-hyponym	商	Nd	清	Nd
hypernym	中央	Nc	地方	Nc
antonym	婆	Na	祖父	Na
hypernym	米	Na	餐點	Na
antonym	急	VH	緩慢	VH
synonym	差不多	D	近乎	D
co-hyponym	羊	Na	豬	Na
hypernym	東方	Ncd	文化	Na
hypernym	波蘭	Nc	國家	Na
synonym	比如說	P	譬如說	P
antonym	糟	VH	良好	VH
co-hyponym	天秤座	Nb	金牛座	Nb
co-hyponym	心急如焚	VH	焦灼	VH
synonym	有些	Dfa	有點兒	Dfa
hypernym	註	Na	訊息	Na
hypernym	外行	VI	評價	VA
hypernym	建築	Na	實體	Na
meronym	代	Na	朝代	Na
hypernym	那麼	D	如此	Dfa
hypernym	收取	VC	收	VC
co-hyponym	明	Nd	遼	Nd
synonym	剎那間	Nd	瞬	Nf
hypernym	官員	Na	職業	Na
hypernym	符	Na	符號	Na
synonym	吐	VC	吐出來	VB
antonym	占有	VJ	無	VJ
hypernym	厭煩	VK	生氣	VH
synonym	措詞	VA	措辭	VA
synonym	鑑於	Cbb	有鑑於	Cbb
antonym	之前	Nd	後	Nd
antonym	哥	Na	弟弟	Na
synonym	自己	Nh	自個兒	Nh
antonym	提前	VB	推	VC
synonym	用	VC	用得著	VL
antonym	女子	Na	男人	Na
hypernym	腎	Na	器官	Na
antonym	漫	VH	短	VH
synonym	不見得	D	說不定	D
synonym	僅有	VJ	只不過	Da
hypernym	北極	Nc	區域	Na
hypernym	聯盟	Na	組織	Na
co-hyponym	末	Na	旦	Na
synonym	將軍	Na	帥	Na
hypernym	化成	VG	變成	VG
antonym	著手	VF	結	VC
synonym	提起	VE	談起	VE
hypernym	瀕臨	VJ	靠	VJ
antonym	不可	D	容許	VE
antonym	朝	Nd	晚	Nd
hypernym	宮殿	Na	建築物	Na
hypernym	泉州	Nc	地方	Nc
antonym	夫	Na	婦	Na
synonym	不祇	Cbb	不單單	Cbb
synonym	乃至	Cbb	以至於	Cbb
hypernym	國	Na	組織	Na
hypernym	記者	Na	職業	Na
antonym	以後	Ng	之前	Ng
co-hyponym	牡羊座	Nb	巨蟹座	Nb
antonym	升級	VH	跌	VA
hypernym	朋友	Na	關係	Na
meronym	一大早	Nd	時間	Na
antonym	渾	VH	清	VH
synonym	變	VG	轉變成	VG
antonym	糟	VH	舒服	VH
co-hyponym	伯	Na	季	Na
synonym	傾心	VI	全心全意	D
hypernym	東	Ncd	空間	Na
hypernym	亞熱帶	Nc	區域	Na
synonym	這一來	Dk	這麼一來	Dk
hypernym	胡琴	Na	琴	Na
synonym	四川省	Nc	蜀	Nc
hypernym	胡琴	Na	樂器	Na
co-hyponym	象	Na	車	Na
co-hyponym	金	Nb	火	Nb
hypernym	轉成	VG	成為	VG
hypernym	啖	VC	誘使	VL
co-hyponym	巨蟹座	Nb	雙子座	Nb
synonym	祇	Da	祇不過	Da
antonym	提高	VA	減輕	VA
hypernym	暗	D	私	D
hypernym	考	VE	問	VE
antonym	活	VH	離去	VA
synonym	相比	VB	比較	VC
synonym	不單	Cbb	不單單	Cbb
antonym	過往	Nd	後	Nd
hypernym	遺	VC	賦予	VD
hypernym	人	Na	動物	Na
hypernym	煤	Na	固體	Na
synonym	不僅	Cbb	不單單	Cbb
hypernym	蟹	Na	水中生物	Na
hypernym	和	Na	道德	Na
co-hyponym	翼	Na	張	Nb
hypernym	盅	Nf	單位	Na
hypernym	柄	Nf	單位	Na
antonym	少	VH	大	VH
antonym	疏	VH	熟	VI
hypernym	嫌	VK	情緒	Na
antonym	部分	Neqa	整	Neqa
antonym	之外	Ng	以內	Ng
co-hyponym	金	Na	銀	Na
synonym	提起	VE	提及	VE
synonym	孩子	Na	小孩子	Na
antonym	長久	VH	暫	VH
hypernym	飛機	Na	交通工具	Na
hypernym	叟	Na	人類	Na
synonym	頃	Nd	轉眼間	Nd
synonym	基於	P	基于	P
hypernym	液體	Na	物質	Na
synonym	了解到	VK	明瞭	VK
antonym	出來	VA	進入	VCL
hypernym	宅	Na	屋	Na
synonym	更何況	Cbb	何況	Cbb
antonym	丁	Na	女人	Na
hypernym	好朋友	Na	關係	Na
meronym	俗語	Na	語言	Na
hypernym	足跡	Na	影響	Na
antonym	能夠	D	不行	VH
hypernym	同時	Nd	時間	Na
antonym	本	A	副	A
synonym	那兒	Ncd	哪	Ncd
synonym	這一來	Dk	這樣一來	Dk
hypernym	魚	Na	水中生物	Na
hypernym	走向	Na	地形	Na
co-hyponym	狗	Na	猴	Na
antonym	前面	Ncd	背	Na
synonym	打瞌睡	VA	盹	VA
co-hyponym	金牛座	Nb	牡羊座	Nb
hypernym	設計	Na	學術	Na
hypernym	白色恐怖	Nb	事件	Na
hypernym	水流量	Na	物理	Na
meronym	日後	Nd	時間	Na
hypernym	喪	VJ	過去	VH
hypernym	牟利	VA	牟	VC
synonym	師範	Nc	師範學院	Nc
synonym	轉化為	VG	轉為	VG
synonym	關於	P	關于	P
hypernym	麻	Na	草	Na
synonym	比如說	P	例如說	P
hypernym	國	Nb	名稱	Na
hypernym	逆	VJ	方向	Na
hypernym	品	Na	舉止	Na
hypernym	系	Na	單位	Na
hypernym	杯	Na	容器	Na
