relation	word1	word2
hypernym	演出	娛樂
hypernym	偏偏	就是
hyponym	雜貨店	店
hypernym	回憶	事件
antonym	私人	公立
synonym	挨	吃下去
nearsynonym	馬	豬
synonym	何況	更何況
antonym	那裡	這兒
antonym	這邊	那裡
nearsynonym	真	美
holonym	之間	空間
hypernym	館	名稱
hyponym	今年	時間
hyponym	文建會	組織
hyponym	墮胎	打
hypernym	性	舉止
synonym	為何	為甚麼
hypernym	學校	機構
hypernym	打氣	勉
antonym	公公	婆
synonym	提昇	提升
synonym	他倆	他們倆
synonym	轉化為	化成
hyponym	小學	區域
hyponym	逝	消失
nearsynonym	食	衣
synonym	如果說	若是
nearsynonym	士	馬
antonym	升	跌
antonym	縮短	增長
synonym	小孩子	孩子
synonym	些許	有點兒
antonym	存	死亡
meronym	午間	時間
hyponym	校長	職業
hypernym	打氣	勵
synonym	剎那間	轉眼間
synonym	那樣	這麼樣
nearsynonym	將	象
hyponym	遺憾	情緒
hypernym	躁鬱	生氣
hypernym	劇院	建築物
hyponym	下跪	跪下
hyponym	新生	學生
hyponym	劇場	建築物
hypernym	警官	警察
hypernym	同志	關係
hyponym	掃瞄器	設備
synonym	出自	來自於
synonym	差不多	類似
hypernym	言語	語言
nearsynonym	校	將
synonym	好比	比方說
hypernym	痛惡	生氣
hypernym	明月	天體
holonym	半身	人
hyponym	府	名稱
antonym	內部	外
antonym	提早	延期
hypernym	看到	覽
antonym	晚上	朝
hypernym	機車	交通工具
antonym	部分	悉皆
hypernym	禮品	物
hyponym	併發症	疾病
nearsynonym	章	節
antonym	光	不光
nearsynonym	熊	獅
hypernym	狗	動物
synonym	僅僅	只不過
hypernym	撲	打
hyponym	金錢	產物
hypernym	人數	數量
meronym	樹皮	樹
hypernym	館	位置
hypernym	機械	設備
synonym	普通	一般
hypernym	嫉妒	生氣
antonym	落	上升
hypernym	高中生	學生
antonym	不僅	單
synonym	有一點點	有一點兒
antonym	國外	國內
synonym	那兒	那
hypernym	轉為	成為
hypernym	俗稱	稱呼
meronym	分鐘	時間
synonym	祇不過	只
antonym	良	劣
antonym	之內	以外
hypernym	乞	求
synonym	受限於	受制
meronym	山頭	山
hypernym	安親班	學校
synonym	吐出	說出
synonym	大夥兒	大伙
antonym	兄弟	姐妹
hyponym	暗示	表明
meronym	葉	植物
antonym	外	裡頭
synonym	臺北市	臺北
synonym	兄弟	弟兄
hyponym	法國人	人
synonym	普通	常
hypernym	人員	人
nearsynonym	弟	妹
antonym	之後	過往
hyponym	攤子	地方
hyponym	篇	單位
antonym	特	順道
hypernym	現金	錢
synonym	有一些	有點兒
nearsynonym	師	解
synonym	生出來	誕生
hyponym	禮	舉止
synonym	許許多多	諸多
hyponym	分封	封
antonym	仰	獨立
meronym	河南	中國
hyponym	浮游	昆蟲
hypernym	子	關係
antonym	這裡	那邊
hyponym	獎金	金錢
synonym	轉瞬間	頓時
synonym	比方說	比如
hyponym	丹	地方
synonym	好比	比如說
hyponym	身邊	位置
hypernym	貝	軟體
synonym	比如說	例如
antonym	夫	妻子
hypernym	獎品	賞
antonym	碩	小
hyponym	青少年	人類
hypernym	汽車	車子
antonym	孬	良好
synonym	況且	更何況
hypernym	皖	地方
synonym	只不過	不過
hyponym	黑	顏色
hyponym	影	物理
hyponym	畫廊	場所
hypernym	勸告	舉止
hyponym	托兒所	建築物
hypernym	答覆	訊息
antonym	好	糟
hyponym	暗示	代表
antonym	提前	延期
nearsynonym	龍	馬
hypernym	禍	事件
hyponym	書	作品
hypernym	涉嫌	涉及
antonym	不行	成
hypernym	軍隊	組織
hypernym	見到	睹
hyponym	哈佛	地方
antonym	香	臭
hyponym	海獅	水中生物
antonym	惡性	良性
nearsynonym	行	列
hyponym	空中	地方
hypernym	晚	時間
antonym	父親	娘
antonym	清	渾
hyponym	可恨	生氣
antonym	奶	祖父
antonym	落	增高
hypernym	廁	地方
synonym	越來越	愈來愈
hypernym	軍人	名稱
hyponym	才能	能力
hypernym	趴	休息
hyponym	強	狀況
hyponym	德國人	人
hyponym	鋼琴	設備
hypernym	幢	單位
antonym	輕	沉
hypernym	紐約	城市
antonym	出去	加入
meronym	午后	時間
synonym	是否	有沒有
hypernym	蕉	食物
nearsynonym	衣	衣服
synonym	忙	急急忙忙
antonym	公	婆
meronym	門	房子
holonym	刑事	法律
hyponym	政府	組織
hyponym	大學	學校
synonym	中式	中國式
antonym	薄	厚
hyponym	落款	落
hyponym	海魚	水中生物
antonym	方便	不便
hyponym	致使	引致
antonym	昌	弱
hyponym	紀	規定
hyponym	李子	植物
meronym	中古	時間
hyponym	人行道	道
hyponym	使得	致
antonym	原因	結果
holonym	水墨畫	作品
hypernym	躁急	生氣
antonym	弟弟	哥
hypernym	鼓掌	拍
antonym	存	亡
hypernym	分手	別
meronym	肩	身體
hyponym	沙漠	區域
hyponym	財政部	機構
hypernym	台南	地區
antonym	斯	那
antonym	無線	有線
hyponym	秋	名稱
nearsynonym	剝	解
antonym	女兒	兒子
synonym	如果說	若
antonym	弟	哥哥
hypernym	猴	動物
synonym	跟不上	落後
antonym	文	武
antonym	弱	強烈
hyponym	江	地形
hyponym	街頭	地方
synonym	輕聲	悄悄
nearsynonym	士	車
hyponym	東方	名稱
synonym	以後	以后
hypernym	拜	揖
synonym	不單單	不止
antonym	升	下降
hypernym	良方	方
synonym	比如說	比方說
hyponym	當兵	服
holonym	器官	身體
hyponym	柚	植物
antonym	好	困難
synonym	不僅僅	不止
antonym	下台	登臺
antonym	佳	否
antonym	奶	爺
synonym	不止	不光
antonym	裡面	外
hypernym	言語	語
hyponym	暗示	表示
hyponym	盒子	容器
hypernym	船	交通工具
synonym	可	只不過
hypernym	巴	交通工具
hypernym	司	組織
holonym	條約	協約
hyponym	傷痛	悲傷
nearsynonym	侯	男
hypernym	執政黨	組織
synonym	長於	擅於
antonym	客人	主
hyponym	殖民地	區域
nearsynonym	青	赤
antonym	安	危
hypernym	拍	打
synonym	為什麼	何為
hypernym	耗油	吃下去
antonym	弟兄	姐妹
hyponym	冬	名稱
hyponym	佩	飾品
hypernym	鍋子	器具
hypernym	貓	動物
hypernym	貼	黏
antonym	結	開始
synonym	乃至於	以至於
hypernym	施捨	捨
synonym	給與	給予
hyponym	便服	衣服
antonym	繁	簡單
hyponym	花	植物
synonym	不只	不僅僅
hyponym	文字	符號
hyponym	宋	名稱
hyponym	合力	物理
antonym	死掉	存
synonym	比方說	比方
antonym	弟	哥
antonym	外面	裡頭
hyponym	自由	權利
synonym	上臺	上台
antonym	強烈	弱
hyponym	學校	區域
hyponym	碧	顏色
nearsynonym	食	行
hypernym	附贈	給
synonym	俗話說	俗語說
antonym	先生	太太
antonym	年頭	年尾
holonym	警察	警方
synonym	小孩子	童
antonym	屑	不屑
synonym	照道理說	照說
synonym	不止	不僅僅
nearsynonym	開心	歡愉
synonym	劃分為	分
hypernym	見	觀望
hypernym	海藻	藻
hypernym	氣惱	生氣
nearsynonym	梅	竹
synonym	陸	六
antonym	近路	遠路
hypernym	悲憤	悲傷
antonym	爺	奶
hyponym	化石	固體
nearsynonym	將	車
antonym	斯	那裏
synonym	譬如	例如說
antonym	外面	以內
hyponym	良方	方法
synonym	注	註
hypernym	育	生
hyponym	舟	名稱
hypernym	肩	背
synonym	甚至於	乃至
nearsynonym	工	士
antonym	嘉	糟
nearsynonym	王	后
synonym	些許	有一些
synonym	找出	找出來
synonym	喜出望外	狂喜
antonym	爸爸	阿媽
antonym	妻子	夫
hyponym	桃	植物
synonym	換句話說	換言之
synonym	有一點兒	有點兒
hyponym	翠	顏色
hypernym	秒鐘	單位
hypernym	堆	單位
hypernym	金	名稱
hypernym	城	地方
hyponym	警員	人
hyponym	研討會	集會
hypernym	章	標誌
antonym	兄	弟弟
synonym	如果說	設若
hyponym	白	名稱
hyponym	臣	名稱
synonym	豈料	想不到
nearsynonym	殿	亞
antonym	之后	過往
hypernym	獎狀	賞
synonym	不錯	對
antonym	母親	爸
synonym	捨不得	戀
nearsynonym	耳	口
hypernym	茶	飲料
synonym	不然	要不然
hypernym	科學	學術
synonym	吃下去	吃
nearsynonym	牛	兔
antonym	冷	燙
antonym	女兒	男
nearsynonym	赤	白
hypernym	起	時間
hypernym	請問	問
antonym	淨	汙
hyponym	褲子	服飾
hypernym	哈	行政區
synonym	發出	吭
hyponym	生氣	情緒
nearsynonym	秋	夏
hypernym	通	單位
synonym	這麼樣	這樣
synonym	何以	為甚麼
hyponym	窯	建築物
nearsynonym	石	土
hyponym	龍蝦	水中生物
hyponym	蟳	水中生物
hyponym	觸鬚	觸角
meronym	項	身體
nearsynonym	唐	清
nearsynonym	樂	食
hypernym	外面	位置
synonym	絕大部分	絕大多數
hyponym	術	才能
hyponym	水瓶座	天體
hypernym	附贈	遺
hyponym	媽媽	名稱
hypernym	牧草地	草地
hypernym	搬	移
nearsynonym	漢	遼
antonym	昇高	矮
holonym	警官	警方
hyponym	外國	地方
antonym	以上	之下
hyponym	反映到	反映
hyponym	宮	區域
hypernym	油船	輪
nearsynonym	馬	狗
hyponym	哀怨	悲傷
synonym	延平郡王	鄭
hypernym	能	狀況
hypernym	看看	睹
antonym	死掉	生
synonym	華人	中國人
nearsynonym	師	升
antonym	少	長
hypernym	卿	名稱
nearsynonym	將	校
antonym	斃	生存
hypernym	鮮	名稱
hypernym	顧	看
hyponym	副熱帶	區域
hyponym	紀	作品
synonym	只不過	只是
hyponym	音樂	作品
antonym	公	母
nearsynonym	羊	牛
hypernym	敍	地方
hypernym	絲	單位
hypernym	步	單位
synonym	意想不到	豈料
antonym	以下	之前
synonym	那兒	那邊
hypernym	妳們	汝等
hyponym	醫生	職業
synonym	這麼一來	如此一來
antonym	輕度	深
hypernym	喊	叫
hyponym	盞	杯子
synonym	為什麼	怎的
antonym	升	掉
hyponym	警察	人
antonym	母	雄
hypernym	宮	名稱
hyponym	蒜	調味料
hypernym	四川	地方
hyponym	基	建築物
hypernym	嘉年華	事件
antonym	趕得及	趕不及
hyponym	海豚	水中生物
hyponym	集	區域
nearsynonym	燕	魏
synonym	有一點	有些
hyponym	辛	食物
synonym	頃	轉眼之間
hyponym	電	物理
nearsynonym	科	目
nearsynonym	警探	警官
hyponym	糟	評價
nearsynonym	銀	銅
hyponym	看看	觀望
hypernym	針葉林	森林
nearsynonym	左	後
hyponym	遊客	人
hypernym	看到	窺
hyponym	長成	結為
nearsynonym	虎	象
nearsynonym	隋	遼
nearsynonym	叔	季
hypernym	蔣介石	人類
nearsynonym	易經	詩經
hypernym	化為	變成
synonym	以至於	甚或
synonym	為啥	為甚麼
hypernym	躺	休
nearsynonym	外傳	傳
hypernym	贈	給與
hyponym	夫	人
antonym	男生	女
antonym	下台	上臺
nearsynonym	雙魚座	水瓶座
hyponym	玻璃	固體
hypernym	怨恨	生氣
hyponym	線	外貌
meronym	十二指腸	人
hyponym	末	角色
synonym	沒想到	不料
hyponym	摔	運動
nearsynonym	燕	夏
hypernym	三鐵	鐵
hyponym	山東	行政區
nearsynonym	觀	隨
antonym	惡	良
synonym	要不	再不然
hypernym	予以	給以
hypernym	鐵齒	見解
synonym	後者	后者
hypernym	搖	蕩
synonym	當成	做
antonym	緩	激
antonym	減	提高
holonym	翅	鳥類
antonym	正	後
hypernym	頁	單位
hyponym	資	名稱
hyponym	歌手	工作
synonym	列出來	陳
antonym	對	不行
antonym	橫	直
synonym	一點兒	點
hyponym	仰賴	靠
hyponym	長成	長
nearsynonym	狗	蛇
nearsynonym	黃	赤
hyponym	習慣	行為
meronym	生前	時間
synonym	可是	祇不過
hypernym	陸棲生物	生物
hypernym	史達林	名稱
synonym	小時	兒時
synonym	設	如果說
hypernym	乘	容量
hyponym	辜	人類
hyponym	反對黨	組織
nearsynonym	物	抽象
hyponym	捷徑	方法
antonym	登台	下台
antonym	那兒	這裏
meronym	外科	醫學
hypernym	包	給與
nearsynonym	祝英台	梁山伯
synonym	了解到	明
synonym	如	如果說
nearsynonym	牡羊座	雙子座
antonym	前	以下
hyponym	珠	飾品
holonym	後方	空間
nearsynonym	侯	伯
antonym	素	花
hyponym	國立	公立
hypernym	妹妹	關係
hypernym	壓	壓力
hypernym	搬	挪
synonym	惟有	唯有
nearsynonym	天蠍座	水瓶座
synonym	恕	同理心
nearsynonym	寬	高
nearsynonym	虎	猴
nearsynonym	魏	漢
synonym	買下來	購買
antonym	淨	污
nearsynonym	非洲	亞洲
nearsynonym	師	咸
nearsynonym	歐洲	亞洲
hyponym	線	空間
nearsynonym	凌晨	清晨
hyponym	盃	容器
holonym	用途	設備
hypernym	課	處
hypernym	盛開	打開
hypernym	答	答應
hyponym	未來	時間
hypernym	屋	地方
hypernym	腰	餐點
synonym	吐出	吐
hyponym	浸泡	浸
hypernym	國會	機關
hyponym	孩	人類
hyponym	撞球	運動
antonym	陋	美麗
hypernym	少年	人類
meronym	慕尼黑	德國
nearsynonym	馬	龍
synonym	許許多多	繁
hypernym	學校	建築物
antonym	私立	公立
synonym	盡可能	盡量
synonym	之外	除此之外
hyponym	烽	名稱
hypernym	禮聘	聘請
hyponym	紐約	區域
hypernym	梯	設備
hyponym	故	關係
hyponym	體能	能力
synonym	小孩子	仔
synonym	四川	四川省
hypernym	小時	單位
hyponym	圖	見解
hypernym	驚駭	驚訝
hyponym	格	性質
hypernym	昂	名稱
synonym	參	三
hypernym	皖	組織
antonym	冷	熱門
hyponym	瓜	組織
hyponym	球	設備
nearsynonym	鄭	陳
hyponym	使	名稱
nearsynonym	公	男
hypernym	桂	文化
hyponym	讚	評價
hyponym	悲愴	悲傷
synonym	記下來	收入
hyponym	丁	人士
nearsynonym	非洲	澳洲
hypernym	杯子	器具
nearsynonym	觀	震
hypernym	雨	下
nearsynonym	秦	燕
synonym	不用說	不消說
holonym	之下	空間
synonym	點	一點點
hypernym	捷	地方
synonym	發出	發送
meronym	外資	財務
antonym	虛	真實
antonym	關係	結果
hyponym	安	持
hyponym	筆	工具
hypernym	不予	勿
nearsynonym	比	升
antonym	緩和	陡
antonym	完	開
hypernym	天主教	宗教
antonym	提高	減少
antonym	加	省
hyponym	教授	職業
hypernym	寫下來	記下來
hypernym	清	舉止
hyponym	梅花	花
hypernym	耍	撒
antonym	掉	增長
hyponym	戲院	建築物
hypernym	去年	時間
antonym	以前	以後
antonym	密	疏
nearsynonym	梁	宋
nearsynonym	徬徨	驚慌
hypernym	見到	觀望
synonym	台北市	臺北
nearsynonym	虎	熊
meronym	本錢	財務
hyponym	扇	產物
synonym	長於	擅長
hypernym	提	領取
hyponym	調查員	人
nearsynonym	乾	豐
hyponym	頂	回嘴
synonym	剎那間	轉瞬間
antonym	拘	釋放
antonym	縱	橫
synonym	有點	有一點兒
hypernym	學校	場所
antonym	那兒	此
hypernym	忿怒	生氣
hypernym	轉成	變成
nearsynonym	車	象
hyponym	位置	空間
hyponym	大西洋	區域
hypernym	登陸	登
antonym	不要	想要
synonym	電影院	戲院
antonym	正	後面
meronym	以後	時間
antonym	進入	出
hypernym	機	設備
hypernym	附贈	給與
antonym	不可	使得
hyponym	杜鵑樹	樹
antonym	有幸	糞
hypernym	送	給與
synonym	一塊兒	相互
hyponym	交通工具	產物
hyponym	權利	抽象
hyponym	清	評價
hyponym	住宅	建築
synonym	媽呀	我的媽呀
hypernym	豬	動物
nearsynonym	平	仁
hypernym	伯仲	關係
hyponym	清	財務
hyponym	傳道	傳
synonym	吃掉	吃下去
hypernym	調羹	器具
hypernym	群	單位
hypernym	玻璃	素材
synonym	東西	橫
antonym	光	不只
hypernym	愛	特質
hyponym	禮	制度
antonym	關閉	打開
nearsynonym	宋	夏
nearsynonym	義	愛
nearsynonym	張	柳
nearsynonym	冷	暖
synonym	比不上	不及
synonym	轉化為	化為
antonym	著重	薄
antonym	女生	兒子
hyponym	舟	交通工具
synonym	些許	有一點兒
antonym	高溫	低溫
antonym	登台	下臺
hypernym	名將	將
hypernym	菌	微生物
hypernym	廢料	廢物
synonym	些許	有一點點
hyponym	享有	有
hyponym	輩	關係
synonym	拾	十
antonym	男	女生
synonym	總而言之	總括來說
hypernym	化為	成為
hyponym	電氣	物理
hyponym	赤字	財務
hyponym	數學	學術
hypernym	包	遺
nearsynonym	斗	室
synonym	而外	除此之外
nearsynonym	熊	龍
antonym	省	添
antonym	久	短
synonym	認帳	認賬
hyponym	旗	區域
nearsynonym	井	咸
synonym	後現代	後現代主義
hyponym	電影院	建築物
synonym	不但	不單單
synonym	有點	有一些
hyponym	哀哉	死
hypernym	公斤	單位
synonym	圍起來	圍起
nearsynonym	宋	清
hypernym	伸手	伸
antonym	寬	窄
hyponym	苔原	區域
synonym	這樣子	這樣
hypernym	課	科
hypernym	領	受到
hypernym	喪	死掉
antonym	為止	起
nearsynonym	象	將
synonym	當作	作為
hypernym	獎品	禮物
hypernym	聽到	聆
synonym	記下來	記住
antonym	容許	不可以
antonym	減少	添
synonym	遺留下	遺留
meronym	身後	時間
hyponym	西	語言
antonym	婚前	婚後
hypernym	醫學	學術
synonym	自然	大自然
nearsynonym	唐	隋
antonym	優	劣
synonym	不啻	不單單
antonym	進來	出來
synonym	大幅	大幅度
antonym	夜晚	朝
holonym	前方	空間
synonym	有點	有一點點
hypernym	湯匙	單位
antonym	以外	之內
hyponym	想起	回想
hypernym	鋼	素材
nearsynonym	士	將
hypernym	刷	器具
hyponym	看看	視
hyponym	聲音	性質
antonym	女兒	子
nearsynonym	上	入
hypernym	猿	動物
hyponym	代	單位
antonym	出去	入
hyponym	長庚	區域
synonym	有心人	有心人士
synonym	沙沙	啞
synonym	詎料	想不到
synonym	畏	禁不起
hyponym	線	素材
nearsynonym	觀	節
antonym	沒有	占有
hyponym	憎恨	生氣
nearsynonym	炮	兵
antonym	嚴峻	輕
synonym	地理	地理學
nearsynonym	感受	覺
hypernym	當時	時間
antonym	開	結束
hyponym	安	懷
antonym	麗	醜
synonym	以至	甚至於
nearsynonym	北	南
hypernym	烏	顏色
nearsynonym	狗	羊
nearsynonym	農	士
synonym	排放到	排入
synonym	打下來	打下
hypernym	鍋	器具
antonym	只	不僅僅
synonym	胡	為甚麼
hyponym	聽任	任憑
hypernym	競賽	賽
antonym	前面	後來
synonym	有鑑於此	有鑒於此
antonym	存有	毋
hyponym	旅行	娛樂
antonym	出去	進來
synonym	以至	以致於
meronym	脊椎	身體
hypernym	邵族	文化
antonym	沒	存有
hyponym	想到	想
antonym	燒	冷卻
hypernym	獎狀	獎
hypernym	阿拉伯數字	數字
hypernym	不屑一顧	忽視
synonym	開放	開放式
nearsynonym	虎	牛
hyponym	國寶	寶
hyponym	房子	建築物
hyponym	沈醉	醉
nearsynonym	乾	升
antonym	陋	麥克
antonym	死	存在
hypernym	棟	單位
hypernym	款	款項
antonym	折	取勝
antonym	方便	緊
synonym	俄	轉瞬間
synonym	譬如說	例如
nearsynonym	夏	遼
nearsynonym	元	周
hypernym	皖	文化
synonym	有一點點	有點兒
synonym	圈	圍起來
antonym	賃	承租
antonym	輕	注重
hyponym	多達	高達
antonym	過去	後
hypernym	附贈	贈送
hypernym	丈	單位
antonym	平	不同
hypernym	汽	車
hypernym	孫	名稱
antonym	過往	后
synonym	只是	祇不過
hypernym	禮聘	聘用
synonym	比不上	不如
hyponym	灰	顏色
synonym	比方說	例如說
antonym	前面	以降
antonym	過往	後面
synonym	只是	只不過
meronym	柏林	德國
nearsynonym	觀	升
antonym	熱情	冷淡
antonym	來不及	來得及
hypernym	勇	健
hyponym	丹紅	顏色
nearsynonym	龍	虎
hyponym	派	團體
holonym	木柵	臺北
hypernym	偏	就是
hyponym	現年	年
synonym	發出	放出
hypernym	臺	大學
hyponym	大樓	建築物
hyponym	株	單位
synonym	如果說	使
synonym	以至於	以至
antonym	東	西
hyponym	廣播	訊息
antonym	下	上去
hyponym	安	抱持
antonym	以外	際
nearsynonym	今年	去年
hyponym	打烊	關門
hypernym	尼泊爾	國家
hyponym	辦法	方法
antonym	潔	汙
synonym	這麼一來	這樣一來
hypernym	集	舉止
nearsynonym	旅	剝
hyponym	簽名	畫
hyponym	西南	區域
hypernym	縱	彈
synonym	有心人士	有心人
synonym	只不過	祇是
nearsynonym	唐	元
antonym	青	粉
hyponym	唐	名稱
hyponym	茂	名稱
synonym	洗衣	洗衣服
hypernym	看見	觀望
synonym	臺北縣	台北縣
synonym	這樣	這樣子
synonym	有利於	利
hypernym	蛙	動物
hypernym	裕隆	公司
hyponym	歌星	工作
nearsynonym	天蠍座	獅子座
synonym	要不	要不然
antonym	使得	不可以
synonym	有否	有沒有
antonym	佳	遜
antonym	登	下
synonym	輕聲	低
antonym	一樣	不同
nearsynonym	牛	豬
hyponym	健康	狀況
hyponym	旅	娛樂
hypernym	教室	學校
hypernym	不屑一顧	輕視
nearsynonym	鐵	銅
hyponym	遠東	區域
antonym	無所謂	在意
hypernym	編成	修
synonym	心花怒放	狂喜
antonym	良性	惡性
synonym	不經意	無意
meronym	之后	時間
synonym	不僅僅	不只
hypernym	惱怒	生氣
antonym	那兒	這兒
antonym	繁	簡
hypernym	這樣	如此
antonym	降	增高
hyponym	愁苦	悲傷
hyponym	裕隆	汽車
antonym	裡頭	以外
hypernym	愁悶	悲傷
hyponym	怒	情緒
hyponym	符號	知識
hypernym	信	訊息
nearsynonym	金牛座	巨蟹座
hypernym	乘坐	乘
hypernym	享受到	享受
meronym	種	植物
hyponym	煩悶	悲傷
synonym	要不然	不然
meronym	腸	身體
nearsynonym	后	王
antonym	爹	阿媽
hyponym	青	顏色
meronym	股	財務
antonym	太太	先生
hypernym	幕	單位
nearsynonym	竹	土
antonym	不忘	遺忘
hypernym	懊惱	悲傷
hyponym	校	組織
hyponym	簽約	畫
nearsynonym	馬	士
antonym	過往	而後
hyponym	敵視	生氣
synonym	不禁	不由自主
synonym	何故	為甚麼
hypernym	痛心	悲傷
meronym	日	亞洲
hypernym	警探	警察
synonym	股票市場	股市
synonym	清楚	了解到
hypernym	智	才能
meronym	晚間	晚上
antonym	開始	為止
synonym	為什麼	何故
hyponym	論述	舉止
hypernym	個	單位
antonym	開始	止
nearsynonym	非	澳
hyponym	住宅	殼
antonym	冷	加熱
antonym	不良	佳
antonym	死	活生生
antonym	假	實
hypernym	魯	文化
nearsynonym	水瓶座	天蠍座
nearsynonym	牛	羊
antonym	下台	上台
hyponym	星	天體
synonym	一點兒	一點
antonym	前	後方
hypernym	吸食	攝
hyponym	秦始皇	名稱
antonym	大我	小我
hyponym	昨日	時間
antonym	前	之后
synonym	提起	提到
antonym	后	前方
hypernym	倫敦	地方
synonym	忍不住	禁不住
nearsynonym	托兒所	幼稚園
hypernym	列	展示
hypernym	祝	賀
nearsynonym	蘭	竹
antonym	利益	弊
antonym	放出	拘
hypernym	列出來	展
hypernym	狹隘	窄
synonym	比方	例如說
hypernym	激憤	生氣
synonym	等同於	等同
hypernym	年	單位
nearsynonym	燕	秦
synonym	大致上	基本
synonym	還不如	不及
hyponym	匕	產物
nearsynonym	周	唐
nearsynonym	工	商
meronym	棟	建築物
synonym	娃	小孩子
hypernym	悲痛	悲傷
hypernym	新生	成員
hyponym	田	名稱
hyponym	動物	生物
nearsynonym	仁	和
hyponym	電器	設備
synonym	公告週知	公告周知
antonym	關	打開
synonym	吞	吞下去
hyponym	校	地方
synonym	更有甚者	尤有甚者
hyponym	頂嘴	回話
hyponym	維多利亞	名稱
hyponym	言辭	言行
nearsynonym	高中	小學
synonym	多多	眾多
antonym	之外	內部
hyponym	大學	組織
hypernym	宅	房屋
hyponym	水	液體
holonym	梅花	梅花樹
nearsynonym	夏	春
meronym	之前	時間
nearsynonym	曹	陳
hypernym	鼎盛	勃
meronym	年中	時間
hyponym	招生	招
hyponym	脫	狀況
nearsynonym	元	明
hypernym	看見	睹
nearsynonym	高	大
antonym	關	開
hyponym	花兒	植物
hyponym	地點	區域
hyponym	息	財務
nearsynonym	牡羊座	金牛座
hypernym	悲憤	生氣
antonym	男生	女生
antonym	新	陳
synonym	一心	全心全意
synonym	買下來	買下
antonym	生	嫻熟
nearsynonym	晚間	午間
antonym	早	後來
nearsynonym	赤	黑
antonym	提前	延後
antonym	媽媽	爸
antonym	午後	午前
hypernym	越	國家
antonym	低溫	高溫
nearsynonym	宋	周
hyponym	晉	地方
hypernym	植物	生物
antonym	偽	真實
hyponym	放任	任憑
meronym	警員	警方
synonym	秦始皇	秦王
hypernym	職業學生	學生
antonym	彩	黑白
antonym	沒有	持有
nearsynonym	周	秦
holonym	樹	樹林
hyponym	童	人類
hypernym	汽車	交通工具
synonym	放出來	放
nearsynonym	雙子座	金牛座
hypernym	緣	關係
antonym	出來	進
hypernym	唐	時間
synonym	只不過	但
synonym	給予	給
synonym	如果說	假如
nearsynonym	和	差
synonym	吐出來	吐出
hypernym	剁	斬
hyponym	鯨魚	水中生物
antonym	早	夜晚
antonym	賣方	買方
meronym	幼時	時間
nearsynonym	南	東
hyponym	折服	拜
nearsynonym	龍	牛
hyponym	句	語
nearsynonym	宋	商
synonym	這麼樣	這樣子
antonym	最少	最多
antonym	間接	直接
antonym	男子	女子
hyponym	桃	名稱
antonym	長久	短
antonym	進來	出去
synonym	憤慨	氣不過
hyponym	高中	區域
synonym	只不過	僅僅
hyponym	聽見	聽
hyponym	新光	行政區
synonym	這一來	如此一來
hypernym	趴	息
hyponym	投	丟
hypernym	糕	糕點
antonym	正	倒
hypernym	看看	窺
nearsynonym	清	夏
synonym	晃	恍
hypernym	貝類	軟體
hypernym	妳們	你們
hyponym	傳統	制度
hypernym	北方	位置
nearsynonym	門	界
antonym	贏	落敗
antonym	僅	不僅僅
nearsynonym	犯愁	憂悶
hypernym	盤子	容器
nearsynonym	乾	解
antonym	這	那邊
antonym	折	贏
nearsynonym	狗	牛
hypernym	杓子	容器
synonym	以外	除此以外
meronym	秋後	時間
hypernym	招致	致
nearsynonym	弟	姐
synonym	禁不住	不由自主
hypernym	敏	才能
nearsynonym	亞洲	澳洲
synonym	意想不到	不料
hypernym	房舍	建築物
antonym	良好	遜
antonym	冉	急
hyponym	便	則
antonym	大幅度	狹幅
synonym	一點兒	一點點
hypernym	北京	地方
antonym	慈	嚴
meronym	吭	身體
antonym	不要	欲
hyponym	近路	方法
hypernym	與會	預
nearsynonym	眷戀	貪戀
antonym	以下	前面
nearsynonym	萬	餅
hyponym	不予	不
synonym	防患未然	預防
hyponym	腰	名稱
hypernym	鳴叫	喚
nearsynonym	小姐	先生
antonym	之後	過去
hyponym	薪	金錢
antonym	前面	後方
meronym	威尼斯	歐洲
nearsynonym	宋	元
hypernym	機	交通工具
synonym	合家	闔家
synonym	浮躁	忐忑不安
nearsynonym	弟弟	妹妹
synonym	發出	表達
nearsynonym	青	黑
antonym	妻	先生
hypernym	迷	情緒
hypernym	波	單位
nearsynonym	爸爸	媽媽
synonym	私底下	私下
hyponym	昨天	時間
synonym	甚	什
meronym	晚間	時間
antonym	男	女
hyponym	裝	服飾
hypernym	吸	攝
antonym	悄悄	高聲
nearsynonym	義	和
hypernym	招致	導致
synonym	僅有	祇不過
hyponym	觀	地方
synonym	不啻	不僅僅
synonym	打招呼	關切
synonym	叫作	叫做
synonym	壹	一
antonym	漂	陋
hyponym	使得	導致
antonym	單單	不止
meronym	磚	建築物
hyponym	術	名稱
synonym	簡言之	簡而言之
synonym	花	眼花撩亂
antonym	主人	客
meronym	感	情緒
hypernym	表明	表
antonym	這	那裡
antonym	提高	掉
hyponym	兔	動物
antonym	夫	房
hyponym	晨	時間
hyponym	書	訊息
hypernym	耗油	吃
synonym	研究院	研究所
hypernym	肇致	致
antonym	完	始
meronym	胸	身體
hypernym	火鍋	餐點
antonym	父	阿媽
antonym	高聲	低聲
holonym	注意力	知覺
antonym	無	持有
hypernym	弟弟	關係
antonym	白	黑
nearsynonym	狗	兔
nearsynonym	教育部	內政部
antonym	小	老
